stock_id,exp_id,fragB_smiles,oligomer_smiles
SP203,AM02,CCCCCCCCN1C(=O)c2c(Br)sc(Br)c2C1=O,CN1C(=O)c2c(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)c2C1=O
SP206,,CCCCCCCCOc1c(OCCCCCCCC)c(Br)c2nsnc2c1Br,COc1c(OC)c(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)c2nsnc2c1-c1ccc2c(c1)C(C)(C)c1ccccc1-2
SP209,,Brc1c2c(c(Br)c3nsnc13)N=S=N2,CC1(C)c2ccccc2-c2ccc(-c3c4c(c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5nsnc35)N=S=N4)cc21
SP210,,CC1(C)c2cc(Br)ccc2-c2c1cc(Br)c1ccccc21,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5ccccc5c3-4)cc21
SP211,,Brc1ccc(-c2ccc(Br)cn2)nc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cn4)nc3)cc21
SP212,S03,Brc1cc2c(s1)-c1sc(Br)cc1C2,CC1(C)c2ccccc2-c2ccc(-c3cc4c(s3)-c3sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc3C4)cc21
SP213,,CCCCCCCCC(CCCCCCCC)n1c2cc(Br)ccc2c2ccc(Br)cc21,CC(C)n1c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc2c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP214,,O=C1c2cc(Br)sc2-c2sc(Br)cc21,CC1(C)c2ccccc2-c2ccc(-c3cc4c(s3)-c3sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc3C4=O)cc21
SP215,,CN(C)CCCC1(CCCN(C)C)c2cc(Br)ccc2-c2ccc(Br)cc21,CN(C)CCCC1(CCCN(C)C)c2cc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21
SP216,,Brc1csc2c(Br)csc12,CC1(C)c2ccccc2-c2ccc(-c3csc4c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)csc34)cc21
SP217,BD01,CCCCCCCCn1nc2c(Br)ccc(Br)c2n1,Cn1nc2c(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)c2n1
SP219,BD11,Brc1ccc(-c2ccc(-c3ccc(Br)s3)c3nsnc23)s1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)s5)c5nsnc45)s3)cc21
SP220,,Brc1ccc2c(c1)Cc1cc(Br)ccc1-2,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)Cc3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc3-4)cc21
SP221,,CCCCCCC1(CCCCCC)c2cc(Br)ccc2-c2cc3c(cc21)-c1ccc(Br)cc1C3(CCCCCC)CCCCCC,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3cc5c(cc3-4)C(C)(C)c3cc(-c4ccc6c(c4)C(C)(C)c4ccccc4-6)ccc3-5)cc21
SP222,,Brc1nnc(Br)nn1,CC1(C)c2ccccc2-c2ccc(-c3nnc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)nn3)cc21
SP223,,O=c1c2cc(Br)ccc2c2cc3c(=O)c4cc(Br)ccc4c3cc12,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)c(=O)c3cc5c(cc34)c(=O)c3cc(-c4ccc6c(c4)C(C)(C)c4ccccc4-6)ccc35)cc21
